griūti,fall down,
grizti,start loving,
grįžti,come back,
grobstyti,embezzle,
grobti,kidnap,
groti,play an instrument,
grožėtis,observe the beauty (of someone or something),
grūdinti,harden,
grūmoti,threaten,
grumtis,tussle,
grūsti,cram,
gudrauti,contrive,
gudrėti,become smarter,
guglinti,google,
gugti,bend,
guldyti,lay,
gulėti,lie,
gulti,lie down,
gultis,lie down,
gundyti,tempt,
guosti,comfort,
guostis,console oneself,
gurkšnoti,sip,
gūžtis,squirm,
gverti,wear of,
gvildenti,discuss,
hipnotizuoti,hipnotise,
identifikuoti,identify,
ieškoti,search,
ignoruoti,ignore,
ilgėti,lengthen,
ilgėtis,miss (somebody),
ilsėti,rest,
ilsėtis,take a rest,
ilsinti,rest,
imigruoti,immigrate,
imituoti,imitate,
imponuoti,impress,
importuoti,import,
improvizuoti,improvise,
imti,take,
imtis,take up,
infekuoti,infect,
informuoti,inform,
inkšti,yelp,
inspiruoti,inspire,
integruoti,integrate,
integruotis,get integrated,
interpretuoti,interpret,
investuoti,invest,
irkluoti,paddle,
irti,disintegrate,
irtis,row,
issigąsti,be frightened,
isšikeroti,spread out,
išaiškėti,become clear,
išaiškinti,explain,
išardyti,dismantle,
išauginti,grow,
išaugti,grow out,
išauklėti,educate,
išaukštinti,exalt,
išbandyti,try out,
išbėgti,run out,
išberti,break out,
išbirti,crumble,
išblukinti,fade,
išblukti,discolor,
išbraukti,strike out,
išdalinti,give out,
išdalyti,distribute,
išdavinėti,extradite,
išdėlioti,lay out,
išdėstyti,state,
išdygti,shoot up,
išdykauti,act naughty,
išdirbti,work out,
išdrįsti,dare,
išdrožti,engrave,
išdulkinti,fuck,
išduoti,give (something) in,
išdurti,trick,
išdžiovinti,dry,
išdžiūti,dry,
išeikvoti,waste out,
išeiti,leave,
išgabenti,carry out,
išgalėti,afford,
išgalvoti,fabricate,
išgarsėti,become famous,
išgaruoti,evaporate,
išgąsdinti,scare,
išgauti,produce,
išgeibti,weaken,
išgelbėti,save,
išgerti,drink,
išgydyti,cure,
išgirsti,hear,
išgirti,exalt,
išgyti,heal,
išgyventi,survive,
išgręžti,drill,
išgryninti,purify,
išgrįsti,pave,
išgulėti,lie,
išgvildenti,thrash out,
išimti,take out,
iširti,break up,
išjoti,ride out,
išjudinti,move,
išjungti,turn off,
išjuokti,mock,
iškasti,excavate,
iškeikti,reprimand,
iškeisti,exchange,
iškeliauti,leave,
iškelti,raise,
iškentėti,suffer through,
iškepti,bake,
iškęsti,endure,
iškilti,raise up,
iškirpti,cut out,
iškirsti,cut down,
iškišti,put out,
išklausyti,listen,
iškoduoti,decode,
iškovoti,gain (through fighting),
iškrapštyti,pluck out,
iškrauti,unload,
iškristi,fall out,
iškvėpti,exhale,
iškviesti,call up,
išlaidauti,enter into expenditure,
išlaidyti,let everybody go (somewhere),
išlaikyti,support,
išlaipinti,disembark,
išlaisvinti,set free,
išlaukti,wait out,
išlaužti,break,
išleisti,spend (money),
išlenkti,curve,
išlepinti,spoil,
išlydėti,send off,
išlydyti,melt,
išlieti,spill,
išlyginti,smooth,
išlikti,survive,
išlipti,step out,
išlysti,bulge,
išlįsti,come out,
išlošti,win,
išlupti,pull out,
išmaldauti,beg,
išmanyti,have a good grasp (of something),
išmąstyti,think of,
išmėginti,try,
išmesti,throw away,
išmėtyti,scatter,
išminuoti,clear of mines,
išmokėti,pay out,
išmokinti,teach,
išmokyti,teach,
išmokti,learn,
išmušti,dislodge,
išnagrinėti,analyze,
išnaikinti,eradicate,
išnarinti,rick,
išnarplioti,unravel,
išnaudoti,abuse,
išnešti,take away,
išnykti,disappear,
išnuomoti,let (an apartment),
išnuomuoti,rent out,
išpakuoti,unpack,
išparduoti,sell out,
išpažinti,confess,
išperėti,hatch,
išpešti,pick out,
išpildyti,fulfill,
išpilstyti,pour away,
išpilti,spill,
išpirkinėti,keep buying back,
išpirkti,buy out,
išpjauti,cut out,
išplatinti,disseminate,
išplėsti,expand,
išplisti,spread,
išpranašauti,foretell,
išprievartauti,rape,
išprotėti,go crazy,
išprovokuoti,provoke,
išprusti,become educated,
išpurenti,hoe,
išpurti,fuzz,
išpurtyti,shake out,
išpurvinti,dirty,
išraižyti,etch,
išrasti,invent,
išrašyti,write out,
išrausti,dig up,
išrauti,root out,
išreikšti,express,
išrengti,undress,
išretėti,become scarce,
išrėžti,cut out,
išrinkti,pick,
išryškėti,become clearer,
išryškinti,brighten,
išrišti,untie,
išrodyti,show,
išsakyti,say,
išsaugoti,preserve,
išsekinti,drain,
išsekti,run out,
išsiaiškinti,find out,
išsidėstyti,deploy,
išsigalvoti,makė up,
išsigąsti,get scared,
išsigelbėti,save oneself,
išsigimti,be born defected,
išsiilgti,miss,
išsijungti,turn off,
išsikalbėti,talk thing,
išsikapstyti,get out,
išsikelti,move out,
išsikepti,bake,
išsikrapštyti,get out,
išsikraustyti,move out,
išsikviesti,call up (a service),
išsilaikyti,hold out,
išsilaipinti,deplane,
išsilaisvinti,become free,
išsilavinti,get educated,
išsimaudyti,get a shower,
išsimiegoti,sleep off,
išsinerti,lay oneself out,
išsinešdinti,get out,
išsinešti,take away,
išsinuomoti,rent,
išsinuomuoti,rent,
išsipasakoti,tell one's story,
išsipildyti,come true,
išsipirkti,redeem oneself,
išsiplėsti,expand oneself,
išsiprausti,wash oneself,
išsireikšti,express oneself,
išsirengti,undress,
išsirinkti,choose,
išsirūpinti,obtain,
išsiskirstyti,disperse,
išsiskirti,divorce,
išsisklaidyti,disperse,
išsiskleisti,unfold,
išsispręsti,solve itself,
išsisukti,evade,
išsišnypšti,blow (ones nose),
išsitempti,overreach,
išsitepti,smudge,
išsitiesti,uncoil,
išsitraukti,pull out,
išsitrinti,rub off,
išsiuntinėti,send out,
išsiurbti,suck up,
išsiųsti,dispatch,
išsivaduoti,get rid of,
išsivalyti,clean,
išsivelti,smudge,
išsiversti,manage without,
išsiveržti,escape,
išsiviepti,pull a wry face,
išsivirti,boil (for oneself),
išsivystyti,develop,
išskaičiuoti,count out,
išskaidyti,divide up,
išskaityti,deduct (by reading),
išskalbti,launder,
išskėsti,spread,
išskirti,except,
išskleisti,expand,
išskolinti,lend away,
išskristi,fly out,
išspausdinti,print,
išspausti,squeeze out,
išspresti,solve,
išspręsti,solve,
išsprogdinti,blow up,
išsprūsti,slip,
išstudijuoti,study,
išstumti,displace,
iššaukti,evoke,
iššauti,shoot,
iššifruoti,decypher,
iššluoti,sweep,
iššokti,jump out,
iššvaistyti,waste,
ištaisyti,fix,
ištapyti,paint,
ištarti,pronounce,
ištaškyti,splash,
išteinti,acquit,
išteisinti,acquit,
ištekėti,wed (for a woman),
ištekinti,wed,
ištempti,stretch,
ištepti,smear,
ištesėti,fulfill (a promiss),
ištiesinti,straighten,
ištiesti,extend,
ištikrinti,check through,
ištirpti,melt,
ištirti,research,
ištmepti,stretch,
ištraukti,pull out,
ištremti,exile,
ištrinti,delete,
ištrūkti,escape,
ištuštinti,empty,
ištverti,suffer through,
ištvirkti,become pervert,
išvadinti,call names,
išvaduoti,free,
išvagoti,plough,
išvaišinti,treat until it runs out,
išvalyti,clean,
išvardinti,name,
išvardyti,enumerate,
išvarginti,tire out,
išvaryti,expel,
išvaškuoti,wax,
išvažiuoti,go away (by vehicle),
išvengti,avoid,
išverkti,cry out,
išversti,translate,
išverti,thread out,
išvesti,walk (somebody) out,
išvežti,remove (by vehicle),
išvykti,depart,
išvilioti,swindle,
išvynioti,roll out,
išvirsti,tip out,
išvirti,boil,
išvysti,see,
išvystyti,develop (something),
išvyti,expel,
išvogti,steal off,
išžudyti,exterminate,
izoliuoti,isolate,
įbauginti,terrify,
įberti,pour in,
įbrėžti,inscribe,
įdarbinti,employ,
įdegti,tan,
įdėti,put in,
įdirbti,cultivate,
įdubti,dent,
įdukrinti,adopt (a daughter),
įduoti,inform on,
įeiti,enter,
įelektrinti,electrify,
įgalinti,enable,
įgalioti,authorize,
įgauti,acquire,
įgelti,sting,
įgyti,obtain,
įgyvendinti,realize,
įgrimzti,plunge,
įgrįsti,become fed up,
įgristi,bore,
įjaudinti,excite,
įjungti,turn on,
įkainoti,price,
įkalbėti,talk in,
įkalbinėti,try to convince,
įkalinti,imprison,
įkalti,hammer,
įkąsti,bite,
įkaušti,get mildly drunk,
įkelti,load,
įkyrėti,be a nuisance,
įkišti,plug,
įklimpti,be bogged down,
įkomponuoti,incorporate,
įkopti,climb up,
įkrauti,charge,
įkūnyti,embody,
įkurti,establish,
įkvaišti,become intoxicated,
įkvėpti,inspire,
įleisti,inject,
įlipti,step in,
įlįsti,creep in,
įmanyti,imagine,
įmesti,throw in,
įmigti,fall asleep,
įmontuoti,install,
įmūryti,brick in,
įnešti,bring in,
įpainioti,implicate,
įpakuoti,pack,
įpareigoti,bind,
įpilti,pour,
įprasminti,give meaning,
įprasti,get used,
įpratinti,accustom (somebody),
įrašinėti,record,
įrašyti,enscribe,
įrengti,install,
įrėžti,scratch,
įrodinėti,attempt to prove,
įrodyti,prove,
įsakinėti,command,
įsakyti,order,
įsėsti,sit (into something),
įsibrauti,intrude,
įsidėmėti,note,
įsidrąsinti,summon up courage,
įsigalėti,take root,
įsigilinti,go deep (into something),
įsigyti,acquire,
įsijausti,empathize,
įsijungti,turn (itself) on,
įsikalti,hammer in,
įsikarščiuoti,get excited,
įsikelti,move in,
įsikišti,interfere,
įsiklausyti,listen attentively,
įsikūnyti,be embodied,
įsikurti,settle in,
įsilaužti,break in,
įsileisti,let in,
įsilieti,join,
įsimylėti,fall in love,
įsiminti,memorise,
įsinešti,carry in,
įsipainioti,get involved,
įsipareigoti,commit,
įsipjauti,cut into oneself,
įsirašyti,subscribe,
įsirengti,install,
įsirėžti,engrave,
įsisąmoninti,realize,
įsisavinti,internalize,
įsiskverbti,penetrate,
įsismaginti,make merry,
įsispoksoti,stare,
įsiteikti,curry favor,
įsiterpti,interfere,
įsitikinti,make sure,
įsitraukti,engage,
įsitrenkti,crash,
įsitvirtinti,get entrenched,
įsiurbti,suck in,
įsiūti,sew in,
įsivaizduoti,imagine,
įsivelti,get involved,
įsiveržti,storm in,
įsiviešpatauti,set in,
įsižeidinėti,get offended (often),
įsižeisti,get offended,
įsižiūrėti,observe closely,
įskaičiuoti,count in,
įskaityti,include,
įskaudinti,harm,
įskiepyti,inculcate,
įskųsti,tell (somebody) in,
įslinkti,creep in,
įsliuogti,climb up,
įsmigti,stick into something,
įsmylėti,fall in love,
įspėti,alert,
įspirti,kick,
įsprausti,cram in,
įstatyti,insert,
įsteigti,found,
įstengti,manage,
įstoti,get in (a college),
įsukti,screw in,
įsūnyti,adopt (a son),
įšaldyti,freeze in,
įšvirkšti,inject,
įtaisyti,install,
įtakoti,influence,
įtarti,suspect,
įteigti,suggest,
įteikti,present,
